timestamp,p1,p2
1,17,27
1,6,29
1,13,33
1,51,21
1,45,65
1,38,66
1,44,29
1,3,62
1,53,66
1,58,32
1,24,4
1,62,46
1,45,68
1,32,29
1,67,37
1,33,43
1,24,26
1,59,48
1,69,6
1,63,69
1,3,26
1,0,22
1,65,43
1,49,50
1,21,0
1,3,13
1,57,42
1,69,59
1,57,25
1,36,45
1,46,66
1,31,64
1,18,32
1,45,17
1,29,62
1,24,41
1,23,72
1,8,48
1,31,68
1,21,68
1,4,53
1,32,68
1,42,41
1,6,67
1,25,17
1,46,28
1,10,63
1,32,72
1,36,70
1,41,64
1,49,38
1,43,32
1,58,20
1,63,70
1,35,35
1,48,20
1,2,34
1,55,29
1,71,22
1,32,58
1,15,36
1,22,46
1,57,18
1,1,72
1,39,37
1,61,26
1,0,47
1,14,1
1,18,53
1,60,66
1,10,63
1,48,8
1,4,13
1,81,79
1,126,122
1,98,131
1,138,102
1,93,97
1,106,129
1,96,130
1,89,111
1,104,74
1,99,107
1,75,83
1,121,133
1,133,115
1,96,92
1,104,94
1,109,74
1,85,93
1,95,121
1,137,116
1,85,95
1,108,74
1,135,76
1,78,113
1,81,81
1,124,82
1,135,85
1,136,92
1,134,104
1,137,96
1,92,132
1,106,134
1,138,134
1,100,102
1,79,113
1,98,123
1,84,99
1,130,79
1,92,121
1,130,108
1,107,126
1,114,111
1,117,104
1,84,121
1,120,86
1,125,133
1,119,114
1,128,107
1,112,102
1,81,117
1,111,93
1,134,112
1,89,78
1,85,118
1,102,131
1,115,125
1,100,88
1,97,124
1,104,125
1,82,95
1,109,92
1,125,105
1,113,134
1,82,88
1,89,122
1,86,86
1,138,128
1,186,216
1,182,224
1,202,219
1,167,207
1,146,164
1,188,182
1,224,219
1,219,203
1,218,196
1,143,139
1,153,168
1,204,185
1,217,146
1,192,223
1,199,194
1,202,197
1,217,181
1,187,181
1,198,145
1,145,189
1,182,145
1,148,171
1,158,154
1,158,144
1,196,176
1,148,171
1,171,221
1,140,191
1,161,200
1,209,175
1,191,163
1,207,146
1,150,201
1,216,201
1,169,198
1,195,156
1,209,167
1,139,181
1,184,191
1,172,142
1,213,199
1,176,141
1,202,202
1,204,208
1,199,146
1,195,192
1,141,142
1,171,223
1,193,147
1,193,158
1,165,198
1,182,212
1,222,140
1,194,206
1,172,184
1,144,150
1,195,179
1,205,184
1,207,218
1,163,164
1,222,212
1,223,211
1,164,147
1,189,159
1,209,214
1,171,182
1,187,178
1,221,223
1,199,180
1,216,170
1,212,148
1,197,213
1,190,218
1,185,186
1,202,185
1,219,191
1,160,143
1,186,200
1,153,186
1,169,200
1,167,153
1,222,157
1,150,150
1,154,184
1,224,150
1,151,140
2,84,96
2,136,77
2,92,96
2,92,136
2,136,84
2,84,84
2,98,291
2,98,41
2,136,136
2,291,77
2,291,77
2,84,41
2,98,96
2,261,207
2,27,199
2,27,5
2,133,286
2,266,147
2,89,147
2,27,107
2,276,110
2,5,207
2,89,207
2,110,244
2,207,195
2,110,199
2,5,286
2,286,286
2,244,147
2,8,107
2,294,266
2,199,110
2,296,8
2,244,296
2,5,89
2,89,207
2,296,272
2,296,244
2,199,266
2,261,199
2,147,294
2,31,91
2,31,91
2,132,257
2,119,308
2,257,0
2,308,132
2,91,115
2,308,308
2,73,73
2,115,31
2,230,83
2,115,240
2,132,196
2,132,308
2,122,122
2,0,83
2,308,119
2,257,73
2,196,196
2,196,305
2,257,230
2,196,115
2,305,73
2,196,240
2,308,196
2,132,122
2,73,119
2,1,297
2,37,19
2,76,61
2,316,102
2,1,19
2,297,316
2,20,320
2,316,297
2,28,6
2,316,316
2,45,20
2,37,20
2,316,6
2,297,45
2,61,128
2,316,19
2,61,56
2,76,102
2,128,1
2,76,37
2,297,102
2,128,6
2,157,13
2,157,215
2,67,249
2,64,295
2,67,249
2,171,156
2,64,59
2,203,295
2,253,208
2,87,249
2,140,59
2,13,168
2,13,13
2,59,168
2,208,106
2,13,161
2,295,156
2,13,87
2,161,59
2,140,295
2,295,87
2,161,13
2,171,295
2,157,59
2,171,87
2,106,164
2,164,106
2,95,208
2,13,215
2,32,13
2,171,157
2,94,256
2,166,270
2,267,104
2,162,271
2,104,268
2,124,292
2,94,165
2,166,271
2,200,303
2,169,33
2,169,292
2,301,315
2,288,263
2,246,267
2,222,267
2,263,264
2,158,47
2,202,124
2,292,158
2,46,33
2,280,158
2,301,270
2,200,202
2,63,315
2,202,47
2,85,267
2,271,201
