id,age,bmi,apartment,home,family,office,school
0,46,22,0,-1,0,-1,-1
1,18,26,0,-1,0,-1,4
2,17,27,0,-1,0,-1,3
3,80,19,0,-1,0,-1,-1
4,76,16,0,-1,0,-1,-1
5,38,23,0,-1,1,-1,-1
6,2,16,0,-1,1,-1,0
7,40,15,0,-1,2,-1,-1
8,14,28,0,-1,2,-1,-1
9,44,27,0,-1,3,-1,-1
10,43,28,0,-1,3,-1,-1
11,5,25,0,-1,3,-1,1
12,8,22,0,-1,3,-1,1
13,74,15,0,-1,3,-1,-1
14,48,21,0,-1,4,4,-1
15,3,21,0,-1,4,-1,0
16,6,19,0,-1,4,-1,1
17,9,24,0,-1,4,-1,1
18,40,25,0,-1,5,1,-1
19,33,24,0,-1,5,-1,-1
20,8,21,0,-1,5,-1,1
21,70,21,0,-1,5,-1,-1
22,73,26,0,-1,5,-1,-1
23,36,16,0,-1,6,-1,-1
24,5,19,0,-1,6,-1,1
25,4,18,0,-1,6,-1,0
26,69,27,0,-1,6,-1,-1
27,69,28,0,-1,6,-1,-1
28,40,20,0,-1,7,4,-1
29,3,18,0,-1,7,-1,0
30,6,25,0,-1,7,-1,1
31,8,20,0,-1,7,-1,1
32,31,20,0,-1,8,2,-1
33,48,28,0,-1,8,1,-1
34,3,17,0,-1,8,-1,0
35,81,17,0,-1,8,-1,-1
36,35,27,0,-1,9,2,-1
37,9,18,0,-1,9,-1,1
38,5,26,0,-1,9,-1,1
39,50,27,0,-1,10,-1,-1
40,37,17,0,-1,11,4,-1
41,35,24,0,-1,11,2,-1
42,72,25,0,-1,11,-1,-1
43,35,21,0,-1,12,-1,-1
44,5,23,0,-1,12,-1,1
45,3,21,0,-1,12,-1,0
46,65,17,0,-1,12,-1,-1
47,37,19,0,-1,13,4,-1
48,70,21,0,-1,13,-1,-1
49,69,20,0,-1,13,-1,-1
50,38,28,0,-1,14,3,-1
51,6,26,0,-1,14,-1,1
52,3,20,0,-1,14,-1,0
53,5,15,0,-1,14,-1,1
54,68,26,0,-1,14,-1,-1
55,68,24,0,-1,14,-1,-1
56,46,23,0,-1,15,-1,-1
57,16,16,0,-1,15,-1,3
58,5,23,0,-1,15,-1,1
59,17,24,0,-1,15,-1,3
60,34,21,0,-1,16,-1,-1
61,33,16,0,-1,17,4,-1
62,39,24,0,-1,17,0,-1
63,3,18,0,-1,17,-1,0
64,43,19,0,-1,18,-1,-1
65,14,16,0,-1,18,-1,2
66,5,18,0,-1,18,-1,1
67,39,16,0,-1,19,0,-1
68,37,24,0,-1,19,0,-1
69,1,24,0,-1,19,-1,0
70,38,20,1,-1,20,-1,-1
71,37,28,1,-1,20,1,-1
72,6,16,1,-1,20,-1,1
73,32,22,1,-1,21,4,-1
74,1,28,1,-1,21,-1,0
75,62,28,1,-1,21,-1,-1
76,36,25,1,-1,22,-1,-1
77,47,21,1,-1,23,-1,-1
78,16,22,1,-1,23,-1,3
79,22,19,1,-1,23,-1,-1
80,49,20,1,-1,24,2,-1
81,16,21,1,-1,24,-1,-1
82,17,21,1,-1,24,-1,3
83,82,16,1,-1,24,-1,-1
84,33,23,1,-1,25,4,-1
85,50,26,1,-1,25,-1,-1
86,1,25,1,-1,25,-1,0
87,31,23,1,-1,26,-1,-1
88,3,22,1,-1,26,-1,0
89,35,26,1,-1,27,-1,-1
90,5,16,1,-1,27,-1,1
91,4,15,1,-1,27,-1,0
92,41,28,1,-1,28,3,-1
93,1,24,1,-1,28,-1,0
94,11,24,1,-1,28,-1,2
95,49,23,1,-1,29,-1,-1
96,12,18,1,-1,29,-1,2
97,83,22,1,-1,29,-1,-1
98,82,24,1,-1,29,-1,-1
99,34,27,1,-1,30,2,-1
100,2,19,1,-1,30,-1,0
101,3,23,1,-1,30,-1,0
102,37,20,1,-1,31,3,-1
103,1,16,1,-1,31,-1,0
104,4,24,1,-1,31,-1,0
105,70,15,1,-1,31,-1,-1
106,71,18,1,-1,31,-1,-1
107,32,15,1,-1,32,-1,-1
108,45,27,1,-1,32,3,-1
109,2,27,1,-1,32,-1,0
110,2,27,1,-1,32,-1,0
111,30,22,1,-1,33,-1,-1
112,1,27,1,-1,33,-1,0
113,4,28,1,-1,33,-1,0
114,45,27,1,-1,34,2,-1
115,8,25,1,-1,34,-1,1
116,78,17,1,-1,34,-1,-1
117,79,22,1,-1,34,-1,-1
118,45,16,1,-1,35,4,-1
119,40,27,1,-1,35,-1,-1
120,11,25,1,-1,35,-1,2
121,75,17,1,-1,35,-1,-1
122,75,28,1,-1,35,-1,-1
123,49,16,1,-1,36,-1,-1
124,45,28,1,-1,36,-1,-1
125,2,27,1,-1,36,-1,0
126,6,26,1,-1,36,-1,1
127,84,22,1,-1,36,-1,-1
128,81,28,1,-1,36,-1,-1
129,47,17,1,-1,37,-1,-1
130,50,28,1,-1,37,3,-1
131,17,23,1,-1,37,-1,-1
132,1,23,1,-1,37,-1,0
133,19,23,1,-1,37,-1,-1
134,84,27,1,-1,37,-1,-1
135,42,25,1,-1,38,0,-1
136,15,24,1,-1,38,-1,-1
137,36,19,1,-1,39,0,-1
138,1,18,1,-1,39,-1,0
139,4,15,1,-1,39,-1,0
140,70,21,1,-1,39,-1,-1
141,69,21,1,-1,39,-1,-1
142,43,18,2,-1,40,-1,-1
143,8,28,2,-1,40,-1,1
144,10,28,2,-1,40,-1,1
145,75,18,2,-1,40,-1,-1
146,74,16,2,-1,40,-1,-1
147,33,24,2,-1,41,1,-1
148,34,26,2,-1,41,-1,-1
149,7,17,2,-1,41,-1,1
150,3,24,2,-1,41,-1,0
151,38,26,2,-1,42,2,-1
152,1,21,2,-1,42,-1,0
153,42,26,2,-1,43,1,-1
154,17,15,2,-1,43,-1,3
155,6,24,2,-1,43,-1,1
156,73,18,2,-1,43,-1,-1
157,76,17,2,-1,43,-1,-1
158,33,25,2,-1,44,4,-1
159,1,18,2,-1,44,-1,0
160,30,17,2,-1,45,-1,-1
161,2,19,2,-1,45,-1,0
162,2,24,2,-1,45,-1,0
163,2,16,2,-1,45,-1,0
164,32,28,2,-1,46,3,-1
165,3,23,2,-1,46,-1,0
166,40,24,2,-1,47,-1,-1
167,15,22,2,-1,47,-1,2
